,year,Effort,sample.bout,date,obsname,Area,Region.Label,Point_Num,Sample.Label,Minute,Species,Aspect,distance,How,Flock,WindAvg_mph,WindMax_mph,RH_Point,Temp_Point,Group,GroupArea
17,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,GRSP,5,100,C,1,1.5,2.3,65.6,60.5,BLA049,192
18,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,WEME,4,53,C,1,1.5,2.3,65.6,60.5,BLA049,192
19,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,GRSP,4,66,C,1,1.5,2.3,65.6,60.5,BLA049,192
20,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,WEME,7,190,C,1,1.5,2.3,65.6,60.5,BLA049,192
21,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,WEME,0,69,C,1,1.5,2.3,65.6,60.5,BLA049,192
22,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,2,WEME,3,65,C,1,1.5,2.3,65.6,60.5,BLA049,192
23,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,GRSP,7,90,C,1,1.5,2.3,65.6,60.5,BLA049,192
24,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,2,FISP,5,120,C,1,5,7.7,50.9,69,BLA049,192
25,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,BHCO,2,60,C,1,5,7.7,50.9,69,BLA049,192
26,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,WEME,3,120,C,1,5,7.7,50.9,69,BLA049,192
27,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,LASP,5,135,C,1,5,7.7,50.9,69,BLA049,192
28,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,NA,NA,NA,NA,NA,NA,5,7.7,50.9,69,BLA049,192
29,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,2,WEME,6,150,C,1,5,7.7,50.9,69,BLA049,192
30,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,3,WEME,4,45,V,1,5,7.7,50.9,69,BLA049,192
31,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,3,BHCO,4,95,V,2,5,7.7,50.9,69,BLA049,192
32,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,4,LASP,4,88,V,2,5,7.7,50.9,69,BLA049,192
33,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,4,GRSP,1,15,C,1,5,7.7,50.9,69,BLA049,192
34,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,4,GRSP,1,18,V,1,5,7.7,50.9,69,BLA049,192
35,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,WEME,2,102,V,1,5,7.7,50.9,69,BLA049,192
36,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,GRSP,6,33,C,1,5,7.7,50.9,69,BLA049,192
37,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,1,GRSP,2,51,C,1,5,7.7,50.9,69,BLA049,192
38,2024,1,1,2024-06-10,1,192,BLA049-C,12,BLA049-C-12,5,GRSP,0,58,V,1,5,7.7,50.9,69,BLA049,192
39,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,1,FISP,4,180,C,1,4.5,5.7,70.8,57.5,BLA049,192
40,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,2,KILL,4,230,C,1,4.5,5.7,70.8,57.5,BLA049,192
41,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,2,GRSP,2,100,C,1,4.5,5.7,70.8,57.5,BLA049,192
42,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,3,MODO,1,105,C,1,4.5,5.7,70.8,57.5,BLA049,192
43,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,4,BHCO,1,85,C,1,4.5,5.7,70.8,57.5,BLA049,192
44,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,4,CONI,1,90,C,1,4.5,5.7,70.8,57.5,BLA049,192
45,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,4,WEME,5,144,C,1,4.5,5.7,70.8,57.5,BLA049,192
46,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,4,WEME,3,180,C,1,4.5,5.7,70.8,57.5,BLA049,192
47,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,5,AMCR,1,290,C,1,4.5,5.7,70.8,57.5,BLA049,192
48,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,1,WEME,3,120,C,1,4.5,5.7,70.8,57.5,BLA049,192
49,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,1,WEME,2,95,C,1,4.5,5.7,70.8,57.5,BLA049,192
50,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,1,BLGR,3,71,V,1,4.5,5.7,70.8,57.5,BLA049,192
51,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,1,LASP,5,77,V,1,4.5,5.7,70.8,57.5,BLA049,192
52,2024,1,1,2024-06-10,1,192,BLA049-C,126,BLA049-C-126,NA,NA,NA,NA,NA,NA,4.5,5.7,70.8,57.5,BLA049,192
53,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,WEME,3,150,C,1,1.3,3.4,69.1,58.4,BLA049,192
54,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,FISP,1,120,C,1,1.3,3.4,69.1,58.4,BLA049,192
55,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,2,GRSP,3,71,C,1,1.3,3.4,69.1,58.4,BLA049,192
56,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,WEME,3,200,C,1,1.3,3.4,69.1,58.4,BLA049,192
57,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,2,LASP,0,83,C,1,1.3,3.4,69.1,58.4,BLA049,192
58,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,2,GRSP,4,52,C,1,1.3,3.4,69.1,58.4,BLA049,192
59,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,3,WEME,4,95,C,1,1.3,3.4,69.1,58.4,BLA049,192
60,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,2,WEME,5,204,V,1,1.3,3.4,69.1,58.4,BLA049,192
61,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,NA,NA,NA,NA,NA,NA,1.3,3.4,69.1,58.4,BLA049,192
62,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,5,MODO,5,190,C,1,1.3,3.4,69.1,58.4,BLA049,192
63,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,FISP,3,140,C,1,1.3,3.4,69.1,58.4,BLA049,192
64,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,BHCO,2,39,V,2,1.3,3.4,69.1,58.4,BLA049,192
65,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,1,BHCO,0,57,V,1,1.3,3.4,69.1,58.4,BLA049,192
66,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,3,WEME,7,307,V,1,1.3,3.4,69.1,58.4,BLA049,192
67,2024,1,1,2024-06-10,1,192,BLA049-C,127,BLA049-C-127,3,AMCR,3,220,C,1,1.3,3.4,69.1,58.4,BLA049,192
68,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,1,WEME,0,55,V,4,0.1,2.1,64,61.4,BLA049,192
69,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,1,GRSP,6,51,V,1,0.1,2.1,64,61.4,BLA049,192
70,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,1,BARS,2,73,C,1,0.1,2.1,64,61.4,BLA049,192
71,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,5,FISP,1,148,V,1,0.1,2.1,64,61.4,BLA049,192
72,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,2,WEME,6,67,V,1,0.1,2.1,64,61.4,BLA049,192
73,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,2,GRSP,7,59,C,1,0.1,2.1,64,61.4,BLA049,192
74,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,1,WEME,2,69,C,1,0.1,2.1,64,61.4,BLA049,192
75,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,1,WEME,3,83,V,2,0.1,2.1,64,61.4,BLA049,192
76,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,2,GRSP,3,47,C,1,0.1,2.1,64,61.4,BLA049,192
77,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,NA,NA,NA,NA,NA,NA,0.1,2.1,64,61.4,BLA049,192
78,2024,1,1,2024-06-10,1,192,BLA049-C,128,BLA049-C-128,3,WEME,6,210,C,1,0.1,2.1,64,61.4,BLA049,192
79,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,3,WEME,5,190,C,1,2.8,4,57.3,65.3,BLA049,192
80,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,3,BARS,6,39,V,1,2.8,4,57.3,65.3,BLA049,192
81,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,5,GRSP,1,49,C,1,2.8,4,57.3,65.3,BLA049,192
82,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,2,WEME,3,120,C,1,2.8,4,57.3,65.3,BLA049,192
83,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,LASP,5,11,V,2,2.8,4,57.3,65.3,BLA049,192
84,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,LASP,7,37,V,1,2.8,4,57.3,65.3,BLA049,192
85,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,2,BARS,0,15,V,1,2.8,4,57.3,65.3,BLA049,192
86,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,LASP,7,33,V,2,2.8,4,57.3,65.3,BLA049,192
87,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,2,LASP,3,120,C,1,2.8,4,57.3,65.3,BLA049,192
88,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,WEME,4,110,C,1,2.8,4,57.3,65.3,BLA049,192
89,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,NA,NA,NA,NA,NA,NA,2.8,4,57.3,65.3,BLA049,192
90,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,LASP,0,29,V,1,2.8,4,57.3,65.3,BLA049,192
91,2024,1,1,2024-06-10,1,192,BLA049-C,129,BLA049-C-129,1,GRSP,2,47,C,1,2.8,4,57.3,65.3,BLA049,192
92,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,1,WEME,5,105,C,1,10,12.9,51.9,68.4,BLA049,192
93,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,1,WEME,5,120,C,1,10,12.9,51.9,68.4,BLA049,192
94,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,1,GRSP,6,22,C,1,10,12.9,51.9,68.4,BLA049,192
95,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,2,GRSP,1,41,C,1,10,12.9,51.9,68.4,BLA049,192
96,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,NA,NA,NA,NA,NA,NA,10,12.9,51.9,68.4,BLA049,192
97,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,3,BHCO,0,60,C,1,10,12.9,51.9,68.4,BLA049,192
98,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,1,GRSP,6,27,C,1,10,12.9,51.9,68.4,BLA049,192
99,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,5,LASP,5,21,V,1,10,12.9,51.9,68.4,BLA049,192
100,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,2,WEME,0,75,C,1,10,12.9,51.9,68.4,BLA049,192
101,2024,1,1,2024-06-10,1,192,BLA049-C,15,BLA049-C-15,4,WEME,3,140,C,1,10,12.9,51.9,68.4,BLA049,192
102,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,WEME,3,88,C,1,4.2,6.2,53.9,67.3,BLA049,192
103,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,4,BHCO,5,33,V,2,4.2,6.2,53.9,67.3,BLA049,192
104,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,NA,NA,NA,NA,NA,NA,4.2,6.2,53.9,67.3,BLA049,192
105,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,GRSP,1,59,C,1,4.2,6.2,53.9,67.3,BLA049,192
106,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,WEME,6,210,C,1,4.2,6.2,53.9,67.3,BLA049,192
107,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,WEME,5,190,C,1,4.2,6.2,53.9,67.3,BLA049,192
108,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,WEME,2,120,C,1,4.2,6.2,53.9,67.3,BLA049,192
109,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,2,GRSP,4,70,C,1,4.2,6.2,53.9,67.3,BLA049,192
110,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,1,HOLA,4,95,C,1,4.2,6.2,53.9,67.3,BLA049,192
111,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,3,MODO,4,90,C,1,4.2,6.2,53.9,67.3,BLA049,192
112,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,2,GRSP,3,42,C,1,4.2,6.2,53.9,67.3,BLA049,192
113,2024,1,1,2024-06-10,1,192,BLA049-C,58,BLA049-C-58,2,WEME,0,67,V,2,4.2,6.2,53.9,67.3,BLA049,192
114,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,1,GRSP,2,60,C,1,1.3,1.6,62.3,62.4,BLA049,192
115,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,1,WEME,4,57,C,1,1.3,1.6,62.3,62.4,BLA049,192
116,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,2,BHCO,2,120,V,2,1.3,1.6,62.3,62.4,BLA049,192
117,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,1,GRSP,4,39,V,1,1.3,1.6,62.3,62.4,BLA049,192
118,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,1,BHCO,0,105,C,1,1.3,1.6,62.3,62.4,BLA049,192
119,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,2,GRSP,6,21,C,1,1.3,1.6,62.3,62.4,BLA049,192
120,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,NA,NA,NA,NA,NA,NA,1.3,1.6,62.3,62.4,BLA049,192
121,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,3,GRSP,0,80,C,1,1.3,1.6,62.3,62.4,BLA049,192
122,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,3,FISP,3,112,C,1,1.3,1.6,62.3,62.4,BLA049,192
123,2024,1,1,2024-06-10,1,192,BLA049-C,6,BLA049-C-6,5,LASP,4,63,V,1,1.3,1.6,62.3,62.4,BLA049,192
124,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,2,WEME,2,89,C,1,1.2,1.4,60.3,63.6,BLA049,192
125,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,4,AMRO,6,70,C,1,1.2,1.4,60.3,63.6,BLA049,192
126,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,2,LASP,4,85,C,1,1.2,1.4,60.3,63.6,BLA049,192
127,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,3,AGOL,3,47,C,1,1.2,1.4,60.3,63.6,BLA049,192
128,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,4,SPTO,5,69,C,1,1.2,1.4,60.3,63.6,BLA049,192
129,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,1,RTHA,4,340,V,1,1.2,1.4,60.3,63.6,BLA049,192
130,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,1,RTHA,4,400,C,1,1.2,1.4,60.3,63.6,BLA049,192
131,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,1,FISP,4,320,V,1,1.2,1.4,60.3,63.6,BLA049,192
132,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,1,AMCR,4,240,C,1,1.2,1.4,60.3,63.6,BLA049,192
133,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,2,WEME,4,120,C,1,1.2,1.4,60.3,63.6,BLA049,192
134,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,NA,NA,NA,NA,NA,NA,1.2,1.4,60.3,63.6,BLA049,192
135,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,4,MODO,4,205,C,1,1.2,1.4,60.3,63.6,BLA049,192
136,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,5,BLJA,6,80,C,1,1.2,1.4,60.3,63.6,BLA049,192
137,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,5,NOCA,6,80,C,1,1.2,1.4,60.3,63.6,BLA049,192
138,2024,1,1,2024-06-10,1,192,BLA049-C,7,BLA049-C-7,5,RHWO,4,120,C,1,1.2,1.4,60.3,63.6,BLA049,192
139,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,NA,NA,NA,NA,NA,NA,0.7,1.8,72.8,56.3,BLA049,192
140,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,GRSP,4,51,V,1,0.7,1.8,72.8,56.3,BLA049,192
141,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,GRSP,3,90,C,1,0.7,1.8,72.8,56.3,BLA049,192
142,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,FISP,7,180,C,1,0.7,1.8,72.8,56.3,BLA049,192
143,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,WEME,6,120,C,1,0.7,1.8,72.8,56.3,BLA049,192
144,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,WEME,5,190,C,1,0.7,1.8,72.8,56.3,BLA049,192
145,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,2,WEME,1,110,C,1,0.7,1.8,72.8,56.3,BLA049,192
146,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,3,MODO,3,200,C,1,0.7,1.8,72.8,56.3,BLA049,192
147,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,3,MODO,6,145,C,1,0.7,1.8,72.8,56.3,BLA049,192
148,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,3,FISP,6,140,C,1,0.7,1.8,72.8,56.3,BLA049,192
149,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,WEME,3,108,V,1,0.7,1.8,72.8,56.3,BLA049,192
150,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,GRSP,0,40,C,1,0.7,1.8,72.8,56.3,BLA049,192
151,2024,1,1,2024-06-10,1,192,BLA049-C,98,BLA049-C-98,1,GRSP,1,52,C,1,0.7,1.8,72.8,56.3,BLA049,192
152,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,6,47,C,1,1.9,3.2,76.9,71.7,FS,960
153,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,WEME,3,205,C,1,1.9,3.2,76.9,71.7,FS,960
154,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,4,40,C,1,1.9,3.2,76.9,71.7,FS,960
155,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,4,FISP,5,190,C,1,1.9,3.2,76.9,71.7,FS,960
156,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,WEME,2,65,C,1,1.9,3.2,76.9,71.7,FS,960
157,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,2,GRSP,1,30,C,1,1.9,3.2,76.9,71.7,FS,960
158,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,2,DICK,0,89,C,1,1.9,3.2,76.9,71.7,FS,960
159,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,3,52,C,1,1.9,3.2,76.9,71.7,FS,960
160,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,DICK,0,95,C,1,1.9,3.2,76.9,71.7,FS,960
161,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,DICK,1,80,C,1,1.9,3.2,76.9,71.7,FS,960
162,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,1,60,C,1,1.9,3.2,76.9,71.7,FS,960
163,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,4,23,C,1,1.9,3.2,76.9,71.7,FS,960
164,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,1,GRSP,5,60,C,1,1.9,3.2,76.9,71.7,FS,960
165,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,NA,NA,NA,NA,NA,NA,1.9,3.2,76.9,71.7,FS,960
166,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,4,GRSP,5,88,C,1,1.9,3.2,76.9,71.7,FS,960
167,2024,1,1,2024-06-23,2,192,Dismal E,0,Dismal E-0,2,DICK,7,120,C,1,1.9,3.2,76.9,71.7,FS,960
168,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,LASP,7,110,C,1,4,5.6,71.6,72.9,FS,960
169,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,3,WEME,7,105,C,1,4,5.6,71.6,72.9,FS,960
170,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,FISP,6,94,C,1,4,5.6,71.6,72.9,FS,960
171,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,DICK,1,70,C,1,4,5.6,71.6,72.9,FS,960
172,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,BHCO,4,111,V,1,4,5.6,71.6,72.9,FS,960
173,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,GRSP,4,109,C,1,4,5.6,71.6,72.9,FS,960
174,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,2,LASP,5,112,V,1,4,5.6,71.6,72.9,FS,960
175,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,2,GRSP,1,89,C,1,4,5.6,71.6,72.9,FS,960
176,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,1,DICK,4,89,C,1,4,5.6,71.6,72.9,FS,960
177,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,3,DICK,5,69,C,1,4,5.6,71.6,72.9,FS,960
178,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,NA,NA,NA,NA,NA,NA,4,5.6,71.6,72.9,FS,960
179,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,4,DICK,3,59,V,1,4,5.6,71.6,72.9,FS,960
180,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,4,WEME,4,88,C,1,4,5.6,71.6,72.9,FS,960
181,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,4,GRSP,1,42,V,1,4,5.6,71.6,72.9,FS,960
182,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,5,BHCO,4,90,V,2,4,5.6,71.6,72.9,FS,960
183,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,5,FISP,4,36,V,1,4,5.6,71.6,72.9,FS,960
184,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,2,DICK,4,37,V,1,4,5.6,71.6,72.9,FS,960
185,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,2,BHCO,3,74,V,1,4,5.6,71.6,72.9,FS,960
186,2024,1,1,2024-06-23,2,192,Dismal E,1,Dismal E-1,2,LASP,6,176,C,1,4,5.6,71.6,72.9,FS,960
